Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,time_idx
2020-01-01 00:00:00+05:30,506.2132720579284,511.057849296617,503.0309997333167,509.7279357910156,2611808,0.0,0.0,M&M.NS,0
2020-01-02 00:00:00+05:30,510.1079320042212,513.9076186485729,506.7832061904134,512.815185546875,2776519,0.0,0.0,M&M.NS,1
2020-01-03 00:00:00+05:30,511.96026534730845,512.0077498322751,503.83844714513526,506.07073974609375,1930883,0.0,0.0,M&M.NS,2
2020-01-06 00:00:00+05:30,503.363517459379,503.45848643518383,494.4342305462513,498.2339172363281,2059404,0.0,0.0,M&M.NS,3
2020-01-07 00:00:00+05:30,502.41356876540345,505.35830260038847,496.85649249287326,500.2762451171875,2111349,0.0,0.0,M&M.NS,4
2020-01-08 00:00:00+05:30,494.8142886127585,500.08634300491644,493.00941400203305,498.3764953613281,1612378,0.0,0.0,M&M.NS,5
2020-01-09 00:00:00+05:30,503.31601057776675,515.2850592849023,499.3738701452697,514.1451416015625,2897598,0.0,0.0,M&M.NS,6
2020-01-10 00:00:00+05:30,516.8523078692426,520.1770333952717,512.2452114031901,519.2271118164062,2355888,0.0,0.0,M&M.NS,7
2020-01-13 00:00:00+05:30,521.4119222035846,529.1062629800751,519.2270564223979,527.158935546875,3442869,0.0,0.0,M&M.NS,8
2020-01-14 00:00:00+05:30,527.1589754791855,535.5182735188802,527.1589754791855,534.3308715820312,2793249,0.0,0.0,M&M.NS,9
2020-01-15 00:00:00+05:30,533.8559420335811,542.4052364789587,528.8213691225814,541.2178344726562,2564513,0.0,0.0,M&M.NS,10
2020-01-16 00:00:00+05:30,540.7429285214821,541.2653738615278,535.8033240784825,539.0330810546875,2243200,0.0,0.0,M&M.NS,11
2020-01-17 00:00:00+05:30,538.4154795196591,545.254925723762,536.848143875735,540.790283203125,2646260,0.0,0.0,M&M.NS,12
2020-01-20 00:00:00+05:30,540.5053794762836,545.2549873802931,536.0882209341098,538.7955322265625,1847978,0.0,0.0,M&M.NS,13
2020-01-21 00:00:00+05:30,535.7557714825151,536.6107240965384,522.5518383201359,525.1166381835938,3101684,0.0,0.0,M&M.NS,14
2020-01-22 00:00:00+05:30,525.7816179432783,528.6313828101796,521.5069706429265,525.8765869140625,1862669,0.0,0.0,M&M.NS,15
2020-01-23 00:00:00+05:30,525.7815741381598,538.9855067795052,522.0293724469623,538.1305541992188,2113303,0.0,0.0,M&M.NS,16
2020-01-24 00:00:00+05:30,537.7506601765443,543.3552214917712,535.850816744755,539.3180541992188,2284717,0.0,0.0,M&M.NS,17
2020-01-27 00:00:00+05:30,536.7057743396293,553.3294045182904,534.8059308906394,549.3397216796875,3654906,0.0,0.0,M&M.NS,18
2020-01-28 00:00:00+05:30,552.1419535141324,560.216287457995,540.0304525983386,543.8301391601562,3689004,0.0,0.0,M&M.NS,19
2020-01-29 00:00:00+05:30,548.5797803178075,551.6195413455954,543.4977224275232,548.8172607421875,1934080,0.0,0.0,M&M.NS,20
2020-01-30 00:00:00+05:30,549.0547535409206,558.1264943609677,535.6133380266281,539.4130249023438,2901951,0.0,0.0,M&M.NS,21
2020-01-31 00:00:00+05:30,542.215225852172,548.1047512393747,536.9906571661814,538.748046875,2352196,0.0,0.0,M&M.NS,22
2020-02-03 00:00:00+05:30,517.7072543345939,537.418126862012,508.3980345679694,530.72119140625,3818209,0.0,0.0,M&M.NS,23
2020-02-04 00:00:00+05:30,533.8559707911506,549.8146430197891,530.8162098955488,548.0098266601562,2793702,0.0,0.0,M&M.NS,24
2020-02-05 00:00:00+05:30,551.1920751170619,560.3113003894205,548.4848214208175,555.0867309570312,3320830,0.0,0.0,M&M.NS,25
2020-02-06 00:00:00+05:30,555.7042040664572,559.64640238077,547.2023931093745,551.0971069335938,2207104,0.0,0.0,M&M.NS,26
2020-02-07 00:00:00+05:30,550.0046506195642,552.379454810495,533.1910253520509,540.6004028320312,4083215,0.0,0.0,M&M.NS,27
2020-02-10 00:00:00+05:30,538.4155534310881,538.6055493475684,499.7062480767435,501.9385986328125,9648880,0.0,0.0,M&M.NS,28
2020-02-11 00:00:00+05:30,506.4982332544982,510.7728806615959,496.52405597127023,497.8064270019531,5404802,0.0,0.0,M&M.NS,29
2020-02-12 00:00:00+05:30,500.276189790523,507.54305460362957,497.66390562049077,504.4083251953125,3426829,0.0,0.0,M&M.NS,30
2020-02-13 00:00:00+05:30,503.8859857281864,511.0578830865581,501.8436308478236,506.8782043457031,3392352,0.0,0.0,M&M.NS,31
2020-02-14 00:00:00+05:30,508.44556116282826,510.06043955720037,494.57672831881973,496.80902099609375,3507540,0.0,0.0,M&M.NS,32
2020-02-17 00:00:00+05:30,497.85390421507293,499.0888487197519,490.159562186155,496.571533203125,2652464,0.0,0.0,M&M.NS,33
2020-02-18 00:00:00+05:30,494.43422336323533,498.61390185304566,488.35470155598705,496.9990234375,2868873,0.0,0.0,M&M.NS,34
2020-02-19 00:00:00+05:30,501.70112013716016,503.1260025482528,495.66908314303316,500.03875732421875,1952880,0.0,0.0,M&M.NS,35
2020-02-20 00:00:00+05:30,499.56383988967156,506.3082606962415,496.8090437976254,498.5663757324219,2077458,0.0,0.0,M&M.NS,36
2020-02-24 00:00:00+05:30,495.8590850268944,495.8590850268944,485.5049451795582,487.4997863769531,1911411,0.0,0.0,M&M.NS,37
2020-02-25 00:00:00+05:30,489.7321372404704,493.48433967685605,480.7553942684239,483.4626770019531,2105613,0.0,0.0,M&M.NS,38
