Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,time_idx
2020-01-01 00:00:00+05:30,1952.4766287326906,1958.561085456512,1930.56520589743,1934.700927734375,314519,0.0,0.0,HEROMOTOCO.NS,0
2020-01-02 00:00:00+05:30,1946.8296467738478,1950.1700296863833,1922.3729875516387,1932.235107421875,546945,0.0,0.0,HEROMOTOCO.NS,1
2020-01-03 00:00:00+05:30,1924.7192395471764,1947.784056880593,1920.7425469034838,1934.541748046875,544720,0.0,0.0,HEROMOTOCO.NS,2
2020-01-06 00:00:00+05:30,1931.8372053130713,1931.8372053130713,1877.0384661600162,1883.4805908203125,624665,0.0,0.0,HEROMOTOCO.NS,3
2020-01-07 00:00:00+05:30,1891.3152257218087,1908.7330637136317,1858.7063425197084,1867.494873046875,620687,0.0,0.0,HEROMOTOCO.NS,4
2020-01-08 00:00:00+05:30,1846.7760339672072,1865.1086255940613,1837.669446794807,1843.23681640625,595883,0.0,0.0,HEROMOTOCO.NS,5
2020-01-09 00:00:00+05:30,1861.887552483416,1880.9756777544974,1850.0370857140665,1872.6644287109375,732115,0.0,0.0,HEROMOTOCO.NS,6
2020-01-10 00:00:00+05:30,1874.6125379892821,1899.029387112089,1869.8405077695384,1879.742431640625,578287,0.0,0.0,HEROMOTOCO.NS,7
2020-01-13 00:00:00+05:30,1895.2119480934468,1895.2119480934468,1870.9145133591032,1882.3673095703125,434063,0.0,0.0,HEROMOTOCO.NS,8
2020-01-14 00:00:00+05:30,1882.5661992282346,1923.764771700647,1877.8339740642168,1917.879150390625,787340,0.0,0.0,HEROMOTOCO.NS,9
2020-01-15 00:00:00+05:30,1924.6794226666009,1972.8770148994854,1919.9471972828348,1969.496826171875,1051367,0.0,0.0,HEROMOTOCO.NS,10
2020-01-16 00:00:00+05:30,1968.4229905481309,1968.4229905481309,1930.286548137371,1936.2515869140625,590255,0.0,0.0,HEROMOTOCO.NS,11
2020-01-17 00:00:00+05:30,1944.602573833139,1968.3831165959268,1925.9917311643865,1951.7606201171875,457663,0.0,0.0,HEROMOTOCO.NS,12
