Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,time_idx
2020-01-01 00:00:00+05:30,2720.134026567129,2727.549287709975,2704.6781681136404,2715.622314453125,110561,0.0,0.0,BRITANNIA.NS,0
2020-01-02 00:00:00+05:30,2722.1890670667926,2738.2702627370263,2718.6601816399707,2727.90673828125,138428,0.0,0.0,BRITANNIA.NS,1
2020-01-03 00:00:00+05:30,2720.4023162347326,2733.803312866431,2703.11494333377,2714.86328125,168305,0.0,0.0,BRITANNIA.NS,2
2020-01-06 00:00:00+05:30,2707.0009210460516,2708.9216430343986,2675.776647114441,2699.8984375,181158,0.0,0.0,BRITANNIA.NS,3
2020-01-07 00:00:00+05:30,2710.4848634699606,2728.4422820418276,2705.213893262166,2712.897216796875,159307,0.0,0.0,BRITANNIA.NS,4
2020-01-08 00:00:00+05:30,2698.067121067294,2714.7736520018634,2675.732128343227,2701.283447265625,194024,0.0,0.0,BRITANNIA.NS,5
2020-01-09 00:00:00+05:30,2722.3672315281906,2723.9753944395065,2675.8212429973723,2681.181640625,434270,0.0,0.0,BRITANNIA.NS,6
2020-01-10 00:00:00+05:30,2693.555376821462,2693.6000904294096,2660.589015199584,2671.041748046875,526254,0.0,0.0,BRITANNIA.NS,7
2020-01-13 00:00:00+05:30,2675.7320438268125,2730.4527742723526,2668.852909908119,2720.491455078125,420792,0.0,0.0,BRITANNIA.NS,8
2020-01-14 00:00:00+05:30,2732.0159450333504,2786.5133199996794,2713.3884763438873,2774.1396484375,653300,0.0,0.0,BRITANNIA.NS,9
2020-01-15 00:00:00+05:30,2787.407103753809,2799.8699861235214,2763.195884292446,2782.225341796875,438959,0.0,0.0,BRITANNIA.NS,10
2020-01-16 00:00:00+05:30,2783.8336751547495,2823.1432649194508,2782.94027538737,2814.4326171875,768872,0.0,0.0,BRITANNIA.NS,11
2020-01-17 00:00:00+05:30,2818.6757255007465,2831.1833198452823,2782.359119167845,2791.38232421875,294064,0.0,0.0,BRITANNIA.NS,12
2020-01-20 00:00:00+05:30,2807.954956605376,2807.954956605376,2773.4696446297735,2778.874755859375,203111,0.0,0.0,BRITANNIA.NS,13
2020-01-21 00:00:00+05:30,2769.539340284753,2796.341333900412,2749.2144951262117,2779.590087890625,220943,0.0,0.0,BRITANNIA.NS,14
2020-01-22 00:00:00+05:30,2792.320429029183,2804.113260038434,2759.6219166663577,2775.2119140625,248578,0.0,0.0,BRITANNIA.NS,15
2020-01-23 00:00:00+05:30,2772.9788359138797,2789.997926258036,2741.039795604305,2781.108642578125,203032,0.0,0.0,BRITANNIA.NS,16
2020-01-24 00:00:00+05:30,2781.287353303681,2870.4486922600163,2780.304744444663,2852.1787109375,580192,0.0,0.0,BRITANNIA.NS,17
2020-01-27 00:00:00+05:30,2847.2644154842474,2867.8126054924487,2818.6756293858803,2835.828857421875,322446,0.0,0.0,BRITANNIA.NS,18
2020-01-28 00:00:00+05:30,2843.6017077487204,2867.723498714462,2802.1480505203217,2842.127685546875,292577,0.0,0.0,BRITANNIA.NS,19
2020-01-29 00:00:00+05:30,2858.8789538123633,2899.528638936883,2849.989670688384,2871.565185546875,434882,0.0,0.0,BRITANNIA.NS,20
2020-01-30 00:00:00+05:30,2866.8742950084775,2889.8793322386496,2852.1332031910856,2868.437744140625,337850,0.0,0.0,BRITANNIA.NS,21
2020-01-31 00:00:00+05:30,2897.0269348279585,2925.526513876829,2847.130696391686,2859.504150390625,468850,0.0,0.0,BRITANNIA.NS,22
2020-02-03 00:00:00+05:30,2767.3948458019036,2902.655465698585,2762.7044976348006,2885.7255859375,657504,0.0,0.0,BRITANNIA.NS,23
2020-02-04 00:00:00+05:30,2890.1478057176864,2948.2187817212875,2848.1580230689287,2887.914306640625,511585,0.0,0.0,BRITANNIA.NS,24
2020-02-05 00:00:00+05:30,2921.2381741609397,2964.299993004094,2897.9203564093336,2908.864501953125,423733,0.0,0.0,BRITANNIA.NS,25
2020-02-06 00:00:00+05:30,2912.7957425795807,2941.9651549720966,2891.3541501959394,2905.514404296875,410631,0.0,0.0,BRITANNIA.NS,26
2020-02-07 00:00:00+05:30,2908.9087972473394,2944.6447775575034,2892.0236337968327,2904.799072265625,450061,0.0,0.0,BRITANNIA.NS,27
2020-02-10 00:00:00+05:30,2921.4169958263374,2930.35099275547,2791.874040353916,2819.212158203125,969115,0.0,0.0,BRITANNIA.NS,28
2020-02-11 00:00:00+05:30,2840.96612844475,2857.8067988268567,2791.159098745296,2800.539794921875,507516,0.0,0.0,BRITANNIA.NS,29
2020-02-12 00:00:00+05:30,2791.1590929902577,2866.9194255784,2791.1590929902577,2802.416015625,669153,0.0,0.0,BRITANNIA.NS,30
2020-02-13 00:00:00+05:30,2798.1277369747604,2808.535755774599,2774.184582447859,2800.986572265625,319421,0.0,0.0,BRITANNIA.NS,31
2020-02-14 00:00:00+05:30,2783.8332686580557,2822.249453045827,2760.872941612114,2766.5458984375,270506,0.0,0.0,BRITANNIA.NS,32
2020-02-17 00:00:00+05:30,2765.0719534431655,2780.5278112162982,2744.5684748266094,2755.333984375,224912,0.0,0.0,BRITANNIA.NS,33
2020-02-18 00:00:00+05:30,2751.670793863686,2751.670793863686,2698.0668173598483,2739.565185546875,453173,0.0,0.0,BRITANNIA.NS,34
2020-02-19 00:00:00+05:30,2753.5469855096126,2779.366146620139,2715.934775225079,2753.680908203125,462922,0.0,0.0,BRITANNIA.NS,35
2020-02-20 00:00:00+05:30,2751.492083955308,2790.488888572527,2726.8788817794034,2733.2666015625,270720,0.0,0.0,BRITANNIA.NS,36
2020-02-24 00:00:00+05:30,2732.909595196311,2738.269993225463,2684.666012933937,2712.5400390625,427352,0.0,0.0,BRITANNIA.NS,37
2020-02-25 00:00:00+05:30,2715.9349916594374,2749.8841790551805,2696.280198956639,2710.172607421875,350415,0.0,0.0,BRITANNIA.NS,38
2020-02-26 00:00:00+05:30,2702.623611802214,2742.647745233822,2695.118923197411,2717.141357421875,366302,0.0,0.0,BRITANNIA.NS,39
2020-02-27 00:00:00+05:30,2713.2101373163878,2769.53903123601,2644.4630749866415,2703.47216796875,652385,0.0,0.0,BRITANNIA.NS,40
2020-02-28 00:00:00+05:30,2665.011243110787,2698.067031241896,2606.046864282321,2653.57568359375,619510,0.0,0.0,BRITANNIA.NS,41
2020-03-02 00:00:00+05:30,2675.7323038824243,2728.398176557843,2613.1943201522845,2634.725341796875,348147,0.0,0.0,BRITANNIA.NS,42
2020-03-03 00:00:00+05:30,2653.3969435352305,2720.848616678971,2648.9299453137905,2703.8740234375,399770,0.0,0.0,BRITANNIA.NS,43
2020-03-04 00:00:00+05:30,2723.082366663577,2751.671157914638,2705.214372131664,2736.528076171875,368498,0.0,0.0,BRITANNIA.NS,44
2020-03-05 00:00:00+05:30,2753.9938971140537,2827.6099423318615,2748.1867992862,2793.794677734375,720100,0.0,0.0,BRITANNIA.NS,45
2020-03-06 00:00:00+05:30,2756.0485296759416,2769.538951816334,2692.0365311485702,2752.921630859375,593374,0.0,0.0,BRITANNIA.NS,46
2020-03-09 00:00:00+05:30,2720.4021521201817,2735.4113110652575,2652.0570734215958,2677.072265625,607257,0.0,0.0,BRITANNIA.NS,47
2020-03-11 00:00:00+05:30,2664.296295693271,2739.0738000552114,2630.257901135506,2723.35009765625,534597,0.0,0.0,BRITANNIA.NS,48
2020-03-12 00:00:00+05:30,2631.0617683229475,2652.458644683396,2488.162548841303,2511.033447265625,774263,0.0,0.0,BRITANNIA.NS,49
2020-03-13 00:00:00+05:30,2412.179203240791,2724.7796727406344,2153.093288818632,2468.99951171875,1108162,0.0,0.0,BRITANNIA.NS,50
2020-03-16 00:00:00+05:30,2416.4672477775807,2452.069090468675,2324.6704401663415,2420.219482421875,791034,0.0,0.0,BRITANNIA.NS,51
2020-03-17 00:00:00+05:30,2430.046973892405,2497.721995316063,2384.5283067360883,2399.67138671875,567266,0.0,0.0,BRITANNIA.NS,52
2020-03-18 00:00:00+05:30,2437.1942454649875,2452.337325911104,2215.631132240898,2235.2412109375,649481,0.0,0.0,BRITANNIA.NS,53
2020-03-19 00:00:00+05:30,2134.331879712805,2147.7328751902814,2019.0833186065042,2071.034423828125,786857,0.0,0.0,BRITANNIA.NS,54
2020-03-20 00:00:00+05:30,2091.7164026373566,2234.3028394437993,2049.6819103355533,2204.7314453125,742455,0.0,0.0,BRITANNIA.NS,55
2020-03-23 00:00:00+05:30,2054.8189978021232,2164.171017221716,1876.1390849497648,1909.954345703125,613493,0.0,0.0,BRITANNIA.NS,56
2020-03-24 00:00:00+05:30,1891.327024654931,2188.829102694653,1886.770599276733,2112.6220703125,929170,0.0,0.0,BRITANNIA.NS,57
2020-03-25 00:00:00+05:30,2112.5331536719623,2243.862918014602,2070.0966651938984,2190.080078125,1249005,0.0,0.0,BRITANNIA.NS,58
2020-03-26 00:00:00+05:30,2208.081699474576,2384.3047605563743,2159.614773929899,2312.52001953125,944116,0.0,0.0,BRITANNIA.NS,59
2020-03-27 00:00:00+05:30,2403.2450997161336,2420.1749797509547,2237.966161631567,2259.631103515625,472582,0.0,0.0,BRITANNIA.NS,60
2020-03-30 00:00:00+05:30,2202.453709629824,2304.3907072374227,2182.352215474395,2210.047607421875,701815,0.0,0.0,BRITANNIA.NS,61
2020-03-31 00:00:00+05:30,2304.9263253672116,2421.112990547705,2224.565072495862,2402.306884765625,734769,0.0,0.0,BRITANNIA.NS,62
2020-04-01 00:00:00+05:30,2412.178902999212,2483.650870495485,2237.9659822270464,2291.43603515625,1167150,0.0,0.0,BRITANNIA.NS,63
2020-04-03 00:00:00+05:30,2312.967165155038,2331.7732729140253,2211.1643105219205,2290.0068359375,726903,0.0,0.0,BRITANNIA.NS,64
2020-04-07 00:00:00+05:30,2358.708999324337,2571.8295295111484,2358.708999324337,2532.34130859375,1062855,0.0,0.0,BRITANNIA.NS,65
2020-04-08 00:00:00+05:30,2527.4274577647852,2671.2647927595294,2464.88948602794,2479.67529296875,1037961,0.0,0.0,BRITANNIA.NS,66
2020-04-09 00:00:00+05:30,2546.189089997763,2546.189089997763,2441.571900141617,2503.037841796875,893108,0.0,0.0,BRITANNIA.NS,67
2020-04-13 00:00:00+05:30,2501.519235609718,2501.519235609718,2409.8118408788787,2417.673583984375,501533,0.0,0.0,BRITANNIA.NS,68
2020-04-15 00:00:00+05:30,2476.5034613440653,2598.452495425402,2461.0476060755686,2534.88720703125,1011691,0.0,0.0,BRITANNIA.NS,69
2020-04-16 00:00:00+05:30,2535.0215763834917,2585.4539443857816,2514.920083707323,2534.396240234375,675907,0.0,0.0,BRITANNIA.NS,70
2020-04-17 00:00:00+05:30,2576.564806336562,2586.392203309413,2503.4846652245096,2530.241943359375,705271,0.0,0.0,BRITANNIA.NS,71
2020-04-20 00:00:00+05:30,2555.2124385813963,2559.4113733336944,2502.4124317647206,2531.001220703125,667917,0.0,0.0,BRITANNIA.NS,72
2020-04-21 00:00:00+05:30,2483.561424373446,2596.5319766288844,2441.794993685935,2558.0263671875,1129799,0.0,0.0,BRITANNIA.NS,73
2020-04-22 00:00:00+05:30,2557.8032901126453,2653.1289925793867,2526.042887787726,2637.896484375,737395,0.0,0.0,BRITANNIA.NS,74
2020-04-23 00:00:00+05:30,2644.4632227656957,2899.082147930636,2606.94043379402,2633.206298828125,3426363,0.0,0.0,BRITANNIA.NS,75
2020-04-24 00:00:00+05:30,2662.3311768899603,2789.997910173281,2640.889583519034,2735.723876953125,2613797,0.0,0.0,BRITANNIA.NS,76
2020-04-27 00:00:00+05:30,2747.9635470862668,2939.2850050796583,2742.737071609286,2896.446533203125,1993378,0.0,0.0,BRITANNIA.NS,77
2020-04-28 00:00:00+05:30,2927.6707643288296,2939.151037513747,2823.1430013057984,2853.473876953125,1379063,0.0,0.0,BRITANNIA.NS,78
2020-04-29 00:00:00+05:30,2879.5339818568395,2925.556980014235,2845.389266551861,2851.53173828125,1177520,35.0,0.0,BRITANNIA.NS,79
